cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
5618.07,15,281974136978325,ENABLED,778,15,29019.98,56128,SP-PT-EVA Gym Mat- (B0CHMZCX43 Xtrim),400.0
300.1,0,467682964635869,ENABLED,35,0,0,4729,SP-PT-EVA Gym Mat- (B0784MK315 Kobo),100.0
352.18,1,479380068179034,ENABLED,30,1,1640.95,1306,SP-PT-EVA Gym Mat- (B0B5N7S9QJ Signatron),100.0
299.74,1,465835212527063,ENABLED,31,1,2833.33,2489,SP-KT-EVA Gym Mat- (Gym Carpet),100.0
2200.48,10,386522372561870,ENABLED,311,10,14603.8,19364,SP-PT-EVA Gym Mat- (B09SJ6VDN4 Nasmodo),200.0
55.15,0,330012053021270,ENABLED,7,0,0,607,SP-KT-EVA Gym Mat- (Gym Flooring),100.0
7337.47,34,471873610002541,ENABLED,869,28,65957.13,147421,SP-KT-EVA Gym Mat- (Gym Mats for Floor),800.0
2845.34,8,335463343417473,ENABLED,269,8,24253.33,69894,SP-KT-EVA Gym Mat- (Rubber Mat for Gym),300.0
0,0,290868611109374,ENABLED,0,0,0,0,SP-PT-EVA Gym Mat- (B09F68LRLC Signatron),100.0
14.4,0,361079652913959,ENABLED,1,0,0,68,SP-KT-EVA Gym Mat- (Interlocking Floor Mat),100.0
11874.97,49,491551781535347,ENABLED,1430,46,86589.48,68170,SP-PT-EVA Gym Mat- (B0D95TB7KV Xtrim),650.0
2.66,0,348654896918302,ENABLED,1,0,0,94,"SP-PT-EVA Gym Mat (B0B8HB34QP, B09P37XWNC, B08SVVX49Q, B08QND92PJ, B01JBA5LIA, B003RD7ENS)",100.0
57.5,1,546255629915286,ENABLED,5,1,3296.2,1566,SP-KT-EVA Gym Mat- (Gym Equipment Mat),100.0
0,0,298715086571150,ENABLED,0,0,0,70,SP-PT-EVA Gym Mat- (B01DAOOAW6 Stalwart),100.0
995.02,4,475976771349191,ENABLED,111,3,6532.38,2228,SP-PT-EVA Gym Mat- (B09QMK3PC5 Nasmodo),250.0
0,0,418580047231626,ENABLED,0,0,0,0,SP-PT-EVA Gym Mat- (B09P3NQ1V5 Signatron),100.0
206.58,0,537007738248322,ENABLED,21,0,0,7327,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),100.0
5370.81,14,431252039560980,ENABLED,465,14,32517.14,60271,SP-KT-EVA Gym Mat- (Gym Mat),500.0
11273.01,33,528389355177773,ENABLED,2718,32,63158.14,348080,SPA-EVA Gym Mat,500.0
285.06,1,319402810185441,ENABLED,49,1,1597.14,5691,SP-KT-EVA Kids Mat- (Floor Mat For Kids),100.0
14.24,0,549101113141780,ENABLED,2,0,0,509,SP-KT-EVA Kids Mat-Competition,100.0
5076.24,59,406348657309210,ENABLED,744,38,129067.52,46284,SP-PT-EVA Kids Mat- (Defensive),850.0
4231.33,23,330378340143060,ENABLED,869,18,45385.72,53965,SP-PT-EVA Kids Mat- (B08GJ2W8H6 Liltoes),400.0
33.26,1,532457500432268,ENABLED,3,1,800.85,937,SP-KT-ASM- *(Kitchen Mats for Shelves),100.0
220.23,1,495510075195471,ENABLED,22,1,744.92,3458,SP-KT-ASM- (Transparent Plastic Sheet),100.0
8.81,0,427451898212306,ENABLED,1,0,0,983,SP-PT-ASM- (B07MNKGT2P Kuber),100.0
670.76,3,487301460943166,ENABLED,93,2,11302.86,24425,SP-KT-EVA Gym Mat-Competition,300.0
0,0,377405211990266,ENABLED,0,0,0,0,SP-PT-EVA Kids Mat- (B09ZLLM2FJ Kiddie),100.0
5122.69,23,444358283972524,ENABLED,296,13,16888.16,65297,SP-KT-ASM- *(Drawer Mat),800.0
5217.22,49,452390025105521,ENABLED,372,41,34583.99,27565,SP-KT-ASM- Broad Keywords,500.0
0,0,415781072153962,ENABLED,0,0,0,940,SP-KT-ASM- (Kitchen Shelf Sheets Waterproof),100.0
608.64,5,404343658779313,ENABLED,58,5,1673.75,8876,SP-PT-ASM-(B0DDXRHF54 Niwlix),200.0
967.17,5,367972167311682,ENABLED,123,5,11897.15,11778,SP-KT-EVA Kids Mat- (kids mat),100.0
696.46,3,374888292051003,ENABLED,37,3,2425.43,8714,SP-KT-ASM- *(Sheets for Kitchen Shelves),400.0
144.5,4,549858864388380,ENABLED,8,2,2584.75,1639,SP-KT-ASM- (Sheets for Wardrobe),100.0
0,0,290970100249135,ENABLED,0,0,0,26,SP-KT-ASM- (Anti Slip Mat for Kitchen),100.0
0,0,384331317599072,ENABLED,0,0,0,0,SP-PT-EVA Kids Mat- (B09P2WCBZK Vaquita),100.0
10891.35,67,485687530178369,ENABLED,1174,49,132272.4,45828,SP-PT-EVA Kids Mat- (B08JZ8SS2H Liltoes),500.0
275.42,1,389610070846745,ENABLED,46,1,1703.81,2766,SP-KT-EVA Kids Mat- (baby floor mat for crawling big size),100.0
79.95,0,427928791664010,ENABLED,6,0,0,595,SP-PT-ASM- Multi ASINs,100.0
3.23,0,545800801155828,ENABLED,1,0,0,466,SP-KT-EVA Kids Mat- (playmat for kids),100.0
0,0,499771997493235,ENABLED,0,0,0,0,SP-KT-EVA Kids Mat-Defensive,100.0
5657.13,68,434949171306845,ENABLED,799,34,93549.64,77704,SP-KT-EVA Kids Mat- (Interlocking Play Mats for Kids),400.0
234.12,1,481858925749401,ENABLED,19,1,800.85,2896,SP-KT-ASM- *(Cupboard Sheets for Wardrobe),200.0
805.92,1,361513023137601,PAUSED,91,1,847.62,5675,SP-KT-EVA Kids Mat- (EVA Mats for Kids Play School),500.0
0,0,331738096813242,ENABLED,0,0,0,21,SP-PT-ASM- (B08W3CF11M Elastpro),100.0
46.92,0,318522016017251,ENABLED,4,0,0,143,SP-KT-EVA Kids Mat- (Foam Mats for Floor for Kids),100.0
26638.32,118,460560326042273,ENABLED,4440,97,238921.01,461279,SPA-EVA Kids Mat,1200.0
0,0,311253773167965,ENABLED,0,0,0,42,SP-PT-ASM- (B0D8L853WP Niwlix),100.0
148.44,0,378868144920280,ENABLED,9,0,0,822,SP-KT-ASM- (Wardrobe Mats for Shelves ),100.0
100.61,0,437939594309990,ENABLED,6,0,0,122,SP-KT-ASM- (Shelf Liners for Wardrobe),200.0
32.45,0,397921303990091,ENABLED,3,0,0,361,SP-KT-EVA Kids Mat- (Kids Foam Mats for Floor),100.0
204.8,2,393420118810470,ENABLED,18,2,669.49,4514,SP-KT-ASM- (Kitchen Liners for Shelves),100.0
504.51,4,312776668337788,ENABLED,69,3,10723.81,3093,SP-PT-EVA Kids Mat- (EhomeKart),100.0
1110.81,4,453925073664635,ENABLED,139,4,1228.82,14546,SP-PT-ASM- (B0831486NM Elastpro),150.0
42.77,1,501488475596951,ENABLED,3,1,394.07,2031,SP-KT-ASM- (Kitchen Cabinet Sheets),100.0
0,0,363965848277310,ENABLED,0,0,0,114,SP-KT-ASM- (Shelf Mat Roll),100.0
94.55,1,514370064841799,ENABLED,8,1,567.8,762,SP-PT-ASM- (B09YP2YQK1 KayJen),100.0
905.74,1,285714512263106,ENABLED,52,1,227.97,16053,SP-KT-ASM- (Plastic Sheet for Kitchen Shelves ),100.0
23.32,0,386340068839095,ENABLED,4,0,0,319,SP-KT-EVA Kids Mat- (Kids Tiles Mat),100.0
1597.86,5,375672305710823,ENABLED,248,5,9329.52,15834,SP-PT-EVA Kids Mat- (B0CDH4X4DD Liltoes),300.0
5391.1,42,440217389542115,ENABLED,328,34,29831.42,66325,SP-KT-ASM- *(Shelf Liners),400.0
137.64,4,554810470939685,ENABLED,12,3,3057.61,3566,SP-KT-ASM- *(Shelf Liners for Kitchen Shelves),300.0
829.78,6,364312210411355,ENABLED,71,5,2371.21,10243,SP-PT-ASM- (B078X7KLTH Urbanfix),100.0
199.54,3,281721250618996,ENABLED,24,3,2351.7,5125,SPA-ASM Diamond (60x10),100.0
0,0,356879136798212,ENABLED,0,0,0,25,SP-KT-ASM- (Kitchen Sheet),100.0
35.83,0,379751195948265,ENABLED,7,0,0,462,SP-KT-EVA Kids Mat- (Play Mats for Kids),100.0
1795.27,3,507079243994443,ENABLED,184,3,3106.66,27058,SP-KT-EVA Kids Mat- (Interlocking Mat),100.0
61.8,1,331882053519282,ENABLED,6,1,1989.52,1011,SP-KT-EVA Kids Mat- (Kids Mats for Floor),300.0
785.36,1,553611405993082,ENABLED,92,1,1703.81,9139,SP-KT-EVA Kids Mat- (Mat for Kids),600.0
3231.03,19,314100822945498,ENABLED,538,10,28316.18,108059,SPA-EVA Kids Mat PO9,500.0
198.67,2,322293949677831,ENABLED,21,2,1465.26,1108,SP-Category-ASM-Defensive,300.0
4235.46,12,514376000626403,ENABLED,749,12,21800.95,87137,SPA-EVA Gym Mat (Ehk),400.0
516.63,0,480842516628992,ENABLED,58,0,0,7951,SP-KT-EVA Kids Mat PO9-(Kids Play Mat for Floor),100.0
322.65,1,514731629828272,ENABLED,38,1,1703.81,5571,SP-KT-EVA Kids Mat PO9-(Mat for Kids),400.0
691.23,0,359177074319606,PAUSED,98,0,0,11164,SP-KT-EVA Kids Mat PO9-Multi 'baby mat' keywords,100.0
932.63,0,479887372545119,ENABLED,101,0,0,9602,SP-KT-EVA Kids Mat PO9-(Floor Mat for Kids),500.0
858.02,1,519229272545713,ENABLED,116,1,3423.81,8651,SP-PT-EVA Kids Mat PO9-(Xtrim),100.0
521.35,1,438170424828826,ENABLED,54,1,1654.29,4731,SP-KT-EVA Kids Mat PO9-(Foam Mat for Kids),100.0
405.38,1,460625290284031,ENABLED,52,1,1989.52,7549,SP-KT-EVA Kids Mat PO9-(Interlocking Mat),100.0
782.52,3,395696090344363,ENABLED,103,3,5682.85,11942,SP-KT-EVA Kids Mat PO9-(Interlocking Play Mat for Kids),100.0
4639.83,34,370168059053294,ENABLED,434,28,16967.02,123103,SP-KT-ASM-Multi Keywords,300.0
3366.35,31,282503681912197,ENABLED,188,24,22355.13,19033,SP-PT-ASM- (B0D7W73KZ1 Senego),700.0
13230.14,107,366720014146644,ENABLED,1087,93,52657.03,180950,SPA-Storage Bag,700.0
